sentiment,review
1,Philips 190G6
1,"Med integrerte høyttalere som på ingen måte er diskret plassert , og med en stor subwoofer inkludert , da snakker vi om en gutteskjerm ."
0,Eller bedrar skinnet ?
1,"De fleste skjermer har et diskret design , med smale rammer og slank fot ."
1,Men 190G6 fra Philips er en helt annen historie .
1,"Den har et utseende som krever oppmerksomhet , med glinsende svart ramme , glansbelegg på skjermflaten og store sølvfargede sidepaneler med fire innfelte høyttalere med svart deksel ."
1,LES OGSÅ :
1,"Foten har en stor og blank søyle , og det er store knapper og blå lys ."
2,"Baksiden er sort , blank og skinnende , med et deksel som skjuler kontakter og kabler ."
1,De fire høyttalerbrønnene stikker tydelig ut - her er det ikke snakk om å gjemme noe .
1,Likegyldig er det uansett vanskelig å være .
2,God betjening
1,"I midten finner vi volumknappen , som roterer fritt ."
1,"Nivået leser du av på skjermen , det dukker opp en skala så snart du skrur på knappen ."
1,"Til venstre finner vi en inngangsvelger , som bestemmer om skjermen skal vise sginal fra VGA , DVI , Scart , S-video , coaks eller komponentinngangene , som alle er plassert på baksiden av skjermen , under det sorte dekselet ."
2,En mer allsidig og tilkoblingsvennlig skjerm har vi knapt sett .
1,Til høyre finner vi forhåndsinnstillinger for lyden .
1,"På hver side av foten er det tilkoblinger for henholdsvis USB og hodetelefon / mikrofon , og på baksiden er det tilkoblinger for USB til lyddelen , strøm og utsignal til subwooferen ."
0,"Skjermen kan bare vippes , ikke heves / senkes eller dreies ."
1,Bildekvalitet
2,Vi ble positivt overrasket over bildekvaliteten .
2,Spesielt fargedynamikken var klart over gjennomsnittet .
2,"Det er flere faste fargeprofiler med forskjellige temperaturer å velge mellom , i tillegg til manuell innstilling ."
2,"Justeringsområdet er stort , så det er svært gode tilpasningsmuligheter til forskjellige omgivelser ."
0,"Responstiden var ikke av de aller raskeste , det var etterslep å se på testmaterialet ."
2,Men i praktisk spillsammenheng var det helt uproblematisk .
2,"Betraktningsvinkelen fra sidene var meget bra , du kan godt invitere 4 venn( inn ) er til å sitte ved siden av deg og se på skjermen uten at noen på sidene vil få dårligere bilde ."
0,"Vertikalt er det derimot ikke spesielt imponerende , her forsvant rødt med det samme vi reiste oss opp og så ned på skjermen ."
1,Lydkvalitet
1,"190G6 kan kobles til et eksisterende lydkort med vanlig stereo minikack , men det er også en innebygd USB-lydenhet ."
1,"En driver må installeres , så er det bare å velge denne USB-lydenheten i stedet for den som sitter integrert eller montert i PCen ."
0,Vi ble ikke imponert over lydstyrken .
0,Ut fra størrelsen på subwooferen og de fire høyttalerene i skjermen hadde vi ventet oss en noe kraftigere lydstyrke .
1,"Det er egen volumkontroll på sub-wooferen , og den settes typisk i nærheten av midtstilling , avhengig av rom og plassering ."
0,Den sliter litt også før den kommer opp i nærheten av maksområdet .
1,Konkluskjon
2,"Skjermen er spesiell , men den er god å betjene og har bildekvalitet godt over gjennommsnittet ."
1,I hvert fall når man ikke er alene hjemme ...
1,Liten storfilm
1,"« The Descendants » ( Etterkommerne ) er egentlig en ganske « liten » film , men med store spørsmål inne i seg ."
1,"Det handler om en travel advokat på Hawaii , som plutselig får livet snudd på hodet , når hans initiativrike hustru blir hardt skadet i en ulykke ."
1,Først må han ta vare på sine to døtre - noe han aldri har gjort før .
1,Så må han ta tak i sin egen storfamilies hovedutfordring :
1,"Som etterkommere av en polynesisk prinsesse , eier de et stort stykke land - verd ufattelige mye penger dersom det selges til utbygging ."
2,"Det store med denne filmen , er at den tar utfordringen med skikkelig behandling av noe så vanskelig som mellommenneskelige forhold ."
2,Etter filmer som « Sideways » og « About Schmidt » må vel regissør Alexander Payne sies å være en slags ekspert på dette .
1,Kjenner vi egentlig våre nærmeste ?
1,Prioriterer vi riktig i hverdagen ?
1,"Hvordan forvalter vi vårt ansvar , som enkeltindivider og samfunnsborgere ?"
1,George Clooney er mannen som bærer det hele på sine ikke alt for brede skuldre .
2,Og han gjør det enormt godt .
1,Uten store geberder gjennomlever han en livsomveltende krise .
2,Man opplever en intelligent skuespiller flink nok til å holde igjen - dog alltid tydelig nok i alt han foretar seg .
1,"Her er han , på mest mulig overbevisende måte , en helt « vanlig mann » ."
1,"Ikke glamorøs , nokså tydelig litt aldrende , helt tydelig meget sårbar ."
2,"Interessant er også beskrivelsen av Hawaii , ofte nok beskrevet som en « paradis » ."
1,Denne gangen mye mer trivielt eksponert - dog med sine helt særegne skikker og tradisjoner og historie .
2,Så på flere plan makter denne filmen ikke bare å underholde og vise følelser - men også gi interessant ny kunnskap .
2,Det er godt gjort !
0,Halvhjertet helhet
1,The New Pornographers :
1,Together
0,"Trygt og godt album fra The New Pornographers , men det er ikke slik vi vil ha dem ."
1,Et eller annet sted like etter Twin Cinema ( 2005 ) bestemte The New Pornographers seg plutselig for å bli et ordentlig band .
0,"Dette var en forferdelig avgjørelse for de av oss som hadde elsket dem tidligere , for det betød i dette tilfellet at medlemmene skulle dra i samme retning – albumene skulle bli mer helhetlige og lyden skulle være mer polert og avrundet ."
2,Dessverre insisterer de fortsatt på en unødvendig kompleksitet ( ”A Bite Out
0,Når de nå fremstår som et helhetlig band har det meste av magien forsvunnet .
1,Die Hard 5 :
2,Bedre enn bra nok
2,"Action-scenene bærer den femte "" Die hard "" -filmen , for det finnes verken engasjerende følsomhet eller elegante replikker mellom far og sønn McClane når de destruerer det som er igjen av Russland ."
1,Og deretter spøkelseskraftverket i Tsjernobyl .
1,A good day to die
1,USA.
1,2013 .
1,"1 time , 37 minutter ."
1,15 år .
1,Regi : John Moore .
1,Med :
1,"Bruce Willis , Jay Courtney , Sebasitan Koch , Yulia Snigir ."
1,Er det sånn at du husker John McClane som en familiekjær steelcar-cowboy som kom dettende i hvit t-skjorte gjennom glassruter ?
1,Han gjør det igjen .
0,Jeg får av og til en forstyrrende følelse av å se Han Innante med Modern Warfare-tunge automatvåpen .
1,Men det varer ikke så lenge .
1,Det er egentlig mest skallen som likner .
0,"Russerne er stort sett proteinhjerna torpedoer med panser-torsoer , og de ser ut som analfabetiske statister fra en Dolph Lundgren-film ."
1,"« Die hard » var den selvutslettende omsorgens film , der Willis trengte inn i en kapra skyskraper med sitt uutslettelige sprangridning-utrop « yippi ki yay » ."
1,Mannen var motoren .
1,25 år seinere er det maskinen som er mester .
2,"Allerede tidlig i filmen gjennomfører Moore et demolition derby gjennom Moskvas gater der Willis på sitt beste overkjører rushtrafikken i sin robuste Mercedes , mens bilmerker fra flere verdenshjørner kaster seg rundt i sanseløse turnoppvisninger og blir knust til resirkulasjonsmaterale som tyggegummi-Ladaer ."
1,Biler i spagaten .
1,Biler i pilates-stillinger .
2,Vi liker det .
0,Skikkelig vond jernverk .
1,Og særlig i naboskapet til rikelige eufemiseringer av det vi som barn kalte plaffing .
0,Handlingen starter som pysestoff .
2,"En fengsla dissident blir trua av en slags russisk Alec Baldwin som påstår at han eier alle i rettssalen , en påminnelse om det vidunderlige demokratiet som oppsto etter Gorbatsjov ."
1,"På nattklubb der menn sikkert snakker respektløst til unge jenter , skyter McClanes sønn John en rik mann og blir arrestert ."
1,"Det gjør at den amerikanske politimannen må ta Aeroflot til Moskva for å redde gutten , men ting er ikke helt slik de ser ut ."
1,Jeg røper ikke det .
0,"Sønnen er sur og McClane litt defensiv , og for å være helt ærlig ønska jeg at de skulle komme bort fra hverandre ganske kvikt ."
1,"Det er slutt på den tida da film-ungdom var spedlemma , men pene små fyrer ."
1,"Den unge McClane spilles av den unge australieren Jay Courtney fra tv-serien « Spartacus » , som er omtrent like høy som Willis , men er firkanta som en Minecraft-Steve ."
0,Han har fjeset og humøret til Vinnie Jones og blir ikke tålelig før han omsider smiler .
0,"Far og sønn driver med kjerringaktig småkrangling , og samtalene kommer ikke til å skape forventninger om at replikk-forfatterne i USA er på bedringens vei ."
1,Både dattera til den antatte Komarov og unge McClane sutrer om at fedrene bare var på jobb hele tida .
0,I ei tid da halve USA går arbeidsledige klager denne filmen på de som faktisk utøver et yrke .
0,"Det er ikke bare sviskete Oprah-skitt , men politisk umusikalsk i tillegg ."
2,Filmen redder seg av gårde til det mest uventa stedet i verden .
1,Skurkene ikler seg drakter som ville ha holdt infuensaen ute i en heftig stavangervinter og tar seg inn i spøkelsesverket i Tsjernobyl .
1,"Dit kommer også McClane-familien i tynt sommertøy , og de gir seg ikke før skurker blir rotorkutta slik man ellers bare ser i Happy Wheels ( sjekk google ) ."
0,"Hvis folk ikke hadde snakket til hverandre i det hele tatt , ville denne filmen vært perfekt ."
0,Nå er den bare litt mer enn bra nok .
1,Følg meg på Twitter :
1,@arilabra
1,Gutta på tur
2,Velspilt komedie med alvorlige undertoner .
1,Barndomsvenner .
1,"Ordet smaker søtt , smaker sommer og saltvann og peanøtter ."
1,"Venner for livet , liksom ."
1,Jadda .
1,Som om .
1,"For plutselig er man andre steder , på hvert sitt sted , og det som var , er ikke lenger ."
1,Så er spørsmålet :
1,Kan vennskapet fastholdes ?
1,Er det overhodet et vennskap lenger ?
1,"Kjente vi hverandre , egentlig ?"
2,Regidebutantene Julian Hagemann og Andreas Lisberg stuper inn i tematikken med fin sans for timing og typetegning .
2,I en særdeles effektiv åpningssekvens settes både rammen og personene .
1,"Den bokstavelig og billedlig talt syklende studenten Jo ( Øivind Vogt ) , trygghetsnarkoman , konfliktsky og samboer med Ane ."
0,"Utagerende og rølpete Lasse ( Simen Aurstad Gjernes ) , som fortsatt bor hjemme hos mamma ."
1,Stoffern ( Benjamin Helstad ) som har begynt å slå seg opp som eiendomsmegler .
1,"De er i tyveårene , og fortsatt der hvor man kan se hvordan de var som guttunger , da vennskapet mellom dem oppsto ."
1,"De treffes ikke så ofte lenger , men når de møtes , skal de gjøre de gamle greiene ."
1,De har særlig en tradisjon å ta vare på : den årlige gutteturen på hytten til Jos foreldre .
1,Det blir en tur med flere nisser på lasset .
1,"Anes bikkje , blant annet ."
1,"Andre , ikke spesielt velkomne folk ."
1,Personlig drass .
1,Ting skjer som kaster nytt lys over både vennskapet og særlig en av guttene .
1,Han som kanskje trenger disse kompisene mest .
2,"Hagemann og Lisberg etablerer raskt en frisk og lekende tone , full av autentiske dialoger og gjenkjennelige situasjoner ."
2,Her er mye å le av .
1,"Under det hele ligger et drag av noe som kanskje ikke er vemodig , det er snarere forgangent , og bidrar — til et visst punkt , til det komikkens skjær som ligger over disse kompisenes samvær og den maskuline hjelpeløsheten som etter hvert utspiller seg ."
0,"« Å begrave en hund » er ingen ambisiøs eller dristig film , verken formmessig eller i måten temaet behandles på ."
2,Men den preges av en fin blanding munter ærlighet og vilje til å stå lenge nok i alvoret til at tøyset får en nødvendig klangbunn .
2,Dessuten er den velspilt .
